,Close
625,139.550003
550,109.0
63,132.699997
471,74.449997
440,65.699997
497,82.650002
169,78.199997
247,53.400002
257,55.450001
251,41.650002
428,53.950001
269,64.449997
600,125.0
622,136.149994
153,80.199997
460,67.949997
76,153.0
458,66.849998
375,52.099998
40,133.449997
542,99.949997
548,103.900002
65,134.800003
574,121.849998
206,64.949997
8,138.399994
77,160.300003
535,102.150002
58,144.050003
447,63.700001
250,47.599998
372,51.099998
472,75.849998
424,53.950001
377,46.950001
480,75.050003
496,81.300003
119,133.100006
609,132.850006
603,123.699997
319,63.0
364,56.0
412,53.549999
141,82.699997
88,151.399994
323,72.800003
321,65.300003
60,137.899994
486,74.800003
385,54.299999
419,51.25
433,56.0
301,68.699997
612,138.350006
296,62.349998
315,63.099998
581,113.800003
46,138.5
86,149.100006
109,133.949997
360,58.950001
16,134.949997
493,77.650002
193,61.150002
624,137.199997
401,54.549999
539,98.449997
438,63.450001
140,82.449997
198,51.950001
467,77.949997
14,135.449997
87,152.550003
265,65.25
262,57.900002
222,70.199997
259,54.599998
3,131.199997
354,58.150002
489,82.199997
473,75.849998
139,88.699997
67,131.550003
515,89.75
342,63.799999
56,135.449997
304,61.25
51,134.949997
513,91.150002
465,75.800003
530,101.349998
305,61.900002
434,57.75
537,99.150002
357,60.849998
186,78.75
555,113.199997
129,89.550003
359,60.299999
244,53.900002
255,46.299999
390,50.25
154,79.0
371,51.0
629,139.949997
593,124.150002
158,79.900002
590,118.449997
271,62.099998
484,74.75
146,79.699997
394,55.349998
418,50.25
576,118.150002
623,135.550003
588,121.699997
290,63.299999
411,54.900002
213,71.949997
358,59.299999
180,83.900002
380,48.150002
99,138.399994
135,93.550003
176,82.5
504,86.550003
559,108.25
596,130.25
627,143.800003
39,134.300003
340,64.800003
2,132.899994
451,64.5
68,132.649994
208,60.450001
608,133.300003
420,51.0
253,45.700001
339,65.449997
409,50.75
111,141.350006
224,67.050003
544,105.300003
73,137.649994
47,136.600006
113,133.949997
96,142.649994
214,72.150002
569,125.150002
123,129.199997
106,132.75
595,128.550003
17,132.5
98,140.600006
322,63.950001
382,48.75
365,54.700001
510,93.449997
