,Date,Open,High,Low,Adj Close,Volume
346,2022-12-14,64.849998,65.449997,64.599998,65.0,24599687
103,2021-12-22,133.050003,139.75,133.0,138.649994,19425711
587,2023-12-06,117.150002,119.699997,116.599998,118.900002,48171753
32,2021-09-08,141.0,143.600006,139.050003,141.25,28133284
149,2022-02-25,82.0,83.400002,78.150002,78.800003,22876044
4,2021-07-29,134.949997,144.0,132.199997,141.550003,117973089
218,2022-06-09,66.199997,69.699997,65.0,68.699997,47653877
239,2022-07-08,55.0,55.299999,54.299999,54.799999,21413556
235,2022-07-04,54.5,55.799999,53.299999,54.299999,56902459
84,2021-11-25,157.0,161.300003,154.050003,159.75,48900473
127,2022-01-25,90.949997,100.449997,84.150002,100.449997,138336211
143,2022-02-17,86.5,90.099998,85.900002,89.150002,29566401
126,2022-01-24,114.0,114.199997,90.949997,91.349998,167044739
152,2022-03-03,81.5,83.199997,81.199997,82.199997,16067224
476,2023-06-23,73.900002,75.300003,72.550003,74.150002,51775728
240,2022-07-11,54.700001,56.5,54.200001,56.099998,21739009
80,2021-11-18,158.899994,161.850006,152.5,154.699997,46802082
117,2022-01-11,131.0,132.5,130.0,131.300003,15396652
318,2022-11-03,62.799999,62.799999,62.0,62.200001,31729457
23,2021-08-26,125.25,127.150002,124.349998,125.849998,20645403
615,2024-01-16,135.0,135.300003,131.0,133.550003,47043428
598,2023-12-21,122.150002,128.699997,120.199997,127.349998,52326124
508,2023-08-09,93.900002,94.849998,91.599998,94.099998,109240947
533,2023-09-14,98.650002,100.099998,98.199997,99.449997,45226055
61,2021-10-21,139.75,139.899994,135.800003,138.149994,5951873
108,2021-12-29,132.699997,137.699997,131.550003,137.100006,18914246
337,2022-12-01,66.5,67.150002,65.400002,66.650002,83610566
611,2024-01-10,134.25,136.149994,132.25,134.649994,29917881
605,2024-01-02,127.0,129.449997,125.5,128.699997,69395959
44,2021-09-27,139.850006,144.75,138.0,143.699997,26041244
306,2022-10-17,61.900002,63.25,61.150002,62.650002,56007734
89,2021-12-02,151.600006,153.800003,147.800003,150.649994,23508261
232,2022-06-29,58.75,61.450001,56.849998,57.299999,96955320
470,2023-06-15,74.5,76.099998,73.099998,75.099998,93321136
324,2022-11-14,74.300003,75.449997,69.050003,69.599998,186727024
168,2022-03-28,80.599998,81.0,79.150002,79.650002,10034667
426,2023-04-12,54.25,54.25,52.900002,53.200001,30848068
220,2022-06-13,67.5,68.300003,65.400002,67.5,34863276
167,2022-03-25,81.0,81.849998,80.25,80.599998,13585986
225,2022-06-20,68.0,68.0,64.050003,65.0,27409011
395,2023-02-22,54.849998,55.400002,52.599998,52.950001,75802021
7,2021-08-03,137.0,140.800003,137.0,139.399994,46610001
519,2023-08-25,93.349998,93.349998,90.050003,91.0,65076321
115,2022-01-07,130.0,131.449997,129.0,129.25,22846951
621,2024-01-24,131.449997,136.899994,129.800003,136.199997,54612769
355,2022-12-27,59.400002,60.599998,58.5,58.950001,54205000
443,2023-05-09,64.699997,64.699997,60.299999,60.950001,127854883
245,2022-07-18,54.700001,55.099998,52.849998,53.599998,47689463
136,2022-02-08,94.349998,94.650002,91.25,93.550003,9026735
416,2023-03-24,52.5,52.849998,50.150002,50.650002,67243087
525,2023-09-04,97.5,98.599998,97.300003,98.050003,37447917
425,2023-04-11,54.650002,55.25,53.25,53.950001,41101417
568,2023-11-07,123.550003,126.349998,120.5,121.300003,120886007
538,2023-09-22,99.5,101.400002,98.699997,99.900002,39492725
487,2023-07-11,75.050003,77.0,74.900002,76.800003,42946892
436,2023-04-27,58.599998,61.150002,58.349998,60.700001,82969101
524,2023-09-01,98.300003,98.349998,96.849998,97.199997,47561928
564,2023-11-01,105.599998,107.150002,103.25,103.699997,47911258
293,2022-09-27,58.150002,59.75,56.950001,58.849998,79641870
589,2023-12-08,123.0,123.900002,119.300003,119.949997,44213196
183,2022-04-20,81.599998,82.300003,80.0,80.300003,12797463
219,2022-06-10,67.300003,69.699997,66.5,69.0,42040372
279,2022-09-07,59.650002,60.400002,59.200001,59.5,59843737
414,2023-03-22,53.400002,53.900002,52.700001,53.099998,38444991
439,2023-05-03,63.450001,64.949997,63.150002,63.549999,65082316
228,2022-06-23,67.050003,70.0,66.5,69.550003,33785882
10,2021-08-06,135.5,136.199997,130.100006,131.350006,31975356
601,2023-12-27,125.699997,127.599998,125.550003,127.050003,21757560
28,2021-09-02,132.0,138.5,131.5,137.600006,27882466
482,2023-07-04,75.800003,76.199997,74.5,74.800003,24150257
207,2022-05-25,65.699997,66.900002,60.650002,62.299999,104446924
393,2023-02-20,51.900002,55.049999,51.75,54.599998,93315254
124,2022-01-20,127.949997,130.699997,125.0,125.199997,23290545
69,2021-11-02,132.699997,133.600006,131.75,132.449997,7367792
161,2022-03-16,80.0,80.0,75.5,75.949997,42383305
194,2022-05-06,59.299999,62.299999,57.650002,60.5,47189321
137,2022-02-09,94.5,95.449997,93.599998,94.199997,7876462
520,2023-08-28,96.0,96.099998,91.75,92.349998,141118441
565,2023-11-02,105.0,108.0,104.900002,107.550003,47086204
112,2022-01-04,141.350006,141.550003,137.600006,138.350006,10705792
325,2022-11-15,69.599998,71.150002,69.099998,69.949997,68397103
388,2023-02-13,53.0,53.700001,51.25,51.799999,86162276
100,2021-12-17,138.949997,141.0,132.350006,135.350006,95386202
343,2022-12-09,64.199997,64.849998,63.900002,64.150002,36490408
312,2022-10-25,62.700001,64.900002,62.400002,64.599998,81043498
432,2023-04-21,54.299999,56.75,54.099998,56.049999,106707937
341,2022-12-07,65.099998,65.400002,64.099998,64.449997,29775697
478,2023-06-27,75.150002,76.949997,74.849998,76.150002,59078137
566,2023-11-03,108.800003,119.900002,108.699997,116.5,238833377
549,2023-10-10,104.900002,107.949997,104.650002,106.050003,67712329
110,2021-12-31,133.850006,138.399994,133.399994,137.399994,11452243
461,2023-06-02,70.0,73.199997,69.5,71.150002,170769117
283,2022-09-13,63.0,66.599998,62.799999,65.449997,199032705
281,2022-09-09,62.0,63.650002,62.0,62.799999,139369425
407,2023-03-13,53.950001,54.700001,51.599998,51.900002,52374659
187,2022-04-26,80.599998,80.900002,78.599998,79.599998,9548939
442,2023-05-08,64.599998,66.199997,63.5,64.900002,104940671
122,2022-01-18,134.5,134.600006,132.800003,133.050003,9428096
462,2023-06-05,71.300003,72.150002,69.599998,71.25,84075166
387,2023-02-10,52.700001,54.150002,50.700001,53.299999,176950201
584,2023-12-01,118.0,118.349998,115.099998,116.300003,57261076
92,2021-12-07,141.350006,143.800003,138.649994,139.800003,36835410
410,2023-03-16,50.900002,53.700001,49.849998,53.049999,61237058
554,2023-10-17,112.5,114.199997,111.5,113.849998,55351894
195,2022-05-09,59.599998,60.400002,55.650002,56.75,38279098
62,2021-10-22,138.949997,142.0,135.800003,137.75,11468458
616,2024-01-17,132.399994,132.399994,126.75,127.400002,76780526
540,2023-09-26,98.599998,100.400002,97.900002,99.900002,36822528
174,2022-04-05,83.0,85.150002,82.349998,83.900002,28433443
18,2021-08-18,134.5,136.800003,133.300003,134.949997,22566920
523,2023-08-31,100.050003,100.800003,96.699997,97.599998,113063640
441,2023-05-05,65.5,66.699997,64.25,65.400002,94016138
45,2021-09-28,143.899994,143.899994,137.649994,139.0,13489232
302,2022-10-11,68.400002,69.199997,65.0,65.550003,70171064
583,2023-11-30,118.800003,120.699997,116.150002,118.550003,225208168
130,2022-01-31,91.349998,92.5,89.650002,90.400002,20203799
567,2023-11-06,119.599998,123.900002,118.25,123.300003,186288904
50,2021-10-05,138.75,138.800003,137.149994,137.949997,10912142
97,2021-12-14,144.699997,144.949997,140.0,140.649994,19474412
197,2022-05-11,52.0,56.450001,50.299999,54.200001,99812774
215,2022-06-06,70.0,71.199997,69.199997,69.900002,30078469
238,2022-07-07,54.650002,55.150002,53.75,54.450001,35759428
517,2023-08-23,92.949997,95.0,92.050003,94.300003,64768237
